date,open,high,low,close,volume
2016-05-18,95.5397,95.8819,94.4874,95.1201,1682188
2016-05-19,94.565,94.8554,92.9381,93.5643,2488810
2016-05-20,94.0679,95.23,93.9646,95.0621,2479290
2016-05-23,95.2945,95.514,94.6812,94.7522,1420654
2016-05-24,94.8233,96.0305,94.8233,95.7464,1978097
2016-05-25,96.1466,98.1866,95.869,97.9284,2941044
2016-05-26,97.838,98.4578,97.5152,98.4126,2068313
2016-05-27,98.3545,98.7289,98.2253,98.6708,1659229
2016-05-31,98.4901,99.2971,98.3029,99.2519,3941337
2016-06-01,98.7741,98.9484,97.8316,98.4578,1798539
2016-06-02,98.5094,99.0969,98.206,99.0969,1784493
2016-06-03,98.3868,98.8,97.9349,98.7032,1572253
2016-06-06,98.8323,99.3875,98.3481,98.5999,1606288
2016-06-07,98.9743,99.3745,98.5547,98.9872,3015123
2016-06-08,99.1163,99.4778,98.8,99.4197,1981945
2016-06-09,98.7225,99.2648,98.5998,99.0453,1365280
2016-06-10,98.6385,98.9872,98.0382,98.3674,2107277
2016-06-13,97.8897,98.4513,97.0182,97.6638,2438028
2016-06-14,97.6638,97.993,97.0957,97.5217,1935216
2016-06-15,97.78,97.993,97.2248,97.2764,1526402
2016-06-16,96.96,97.6702,96.1918,97.5217,1653827
2016-06-17,97.4571,98.5934,97.2247,98.1221,3149435
2016-06-20,98.516,99.8523,98.4643,99.168,2412167
2016-06-21,99.523,99.7877,99.2196,99.452,1863974
2016-06-22,99.2583,99.8781,98.3029,98.7225,1913539
2016-06-23,99.0647,100.375,98.5159,100.291,2680455
2016-06-24,96.8181,97.2312,94.3713,94.636,6133431
2016-06-27,94.3713,94.6424,91.9955,92.6411,3388484
2016-06-28,93.4675,94.0808,93.1059,94.0614,2699565
2016-06-29,94.5779,95.8561,94.5456,95.8432,2274138
2016-06-30,96.1015,98.0705,95.9788,97.9866,2678903
2016-07-01,97.9865,98.7548,97.7412,98.3545,1795095
2016-07-05,97.6057,98.1286,97.3281,97.922,1664699
2016-07-06,98.0317,98.3932,96.7857,98.3674,1735062
2016-07-07,98.6127,99.2196,98.0575,98.5159,1444017
2016-07-08,99.4197,99.8071,98.8258,99.7167,2053255
2016-07-11,99.807,100.737,99.7425,100.278,1913538
2016-07-12,100.711,101.434,100.401,101.382,2595638
2016-07-13,101.841,102.221,101.395,102.015,1854586
2016-07-14,102.525,104.197,102.377,103.474,3131677
2016-07-15,103.229,103.28,102.325,103.151,3023091
2016-07-18,102.841,103.777,102.473,103.203,4544426
2016-07-19,104.442,104.675,101.931,103.022,4807991
2016-07-20,103.274,104.397,103.035,104.171,2955225
2016-07-21,103.777,104.488,103.222,103.584,2376242
2016-07-22,103.797,104.694,103.603,104.63,1701772
2016-07-25,104.584,105.152,104.423,105.004,1893889
2016-07-26,105.004,105.617,104.178,104.662,1954663
2016-07-27,104.662,104.952,104.055,104.475,1460428
2016-07-28,104.184,104.462,103.752,104.178,1580424
2016-07-29,104.171,104.371,103.313,103.693,2395554
2016-08-01,103.713,104.358,103.19,104.229,1906719
2016-08-02,104.113,104.229,103.526,103.668,2080469
2016-08-03,103.377,103.849,103.164,103.726,1932448
2016-08-04,103.849,104.391,103.371,104.294,1680839
